VALLIS G L,Gina Vallis,3.498235,2.1,963,35,2010,2015,0,963,4.6,WRIT,,,,,,,
GARRISON E K,Ednie Garrison,3.496933,2.3,1467,35,2013,2018,0,1467,4.0,FEMST,,,,,,,
BORIS E C,Elieen Boris,3.496375,2.8,993,30,2010,2024,14,979,3.5,FEMST,INT,,,,,,
BARRETT T W,Thomas Barrett,3.494929,3.3,2268,58,2018,2024,4,2264,5.0,MATH,PHIL,,,,,,
MOAK D,David Moak,3.494915,2.6,4248,86,2019,2024,319,3929,4.0,C,FR,GLOBL,HIST,INT,ITAL,,
DEVRIES M S,Timothy Devries,3.493365,2.4,4371,33,2009,2023,443,3928,4.9,CHEM,INT,,,,,,
FULBECK L K,Kip Fulbeck,3.492425,3.0,2891,50,2010,2024,652,2239,4.1,ART,ARTST,INT,,,,,
HANSON J L,Jeffrey Hanson,3.491052,3.0,5845,45,2009,2024,293,5552,5.0,LING,WRIT,,,,,,
ABRA G J,Gordon  Abra,3.49068,3.5,6041,80,2014,2024,0,6041,3.9,COMM,SOC,,,,,,
ECKLUND C D,Christopher McAuley,3.490305,2.5,722,72,2009,2014,722,0,4.4,ES,,,,,,,
GORDON M J,Matt Gordon,3.490105,1.9,2001,23,2009,2024,192,1809,4.4,CH,CHEM,,,,,,
JAMMALAMADAKA,Sreenivasa Jammalamadaka,3.489236,2.5,2499,30,2010,2024,1,2498,4.5,PSTAT,,,,,,,
HOLLAND J,Jocelyn Holland,3.486256,2.3,1397,26,2009,2017,0,1397,3.6,C,GER,,,,,,
EK A A,Auli Ek,3.485417,2.5,3504,44,2009,2020,0,3504,3.3,WRIT,,,,,,,
CHEN S C,Eric Chen,3.483267,3.5,2767,27,2009,2024,0,2767,3.9,CHIN,,,,,,,
MARCUS S L,Scott Marcus,3.482986,1.9,2445,46,2009,2024,393,2052,3.4,INT,MUS,,,,,,
YU H,Hongbo Yu,3.481362,2.9,1116,23,2021,2024,5,1111,3.5,PSY,,,,,,,
HERNANDEZ E D,Ellie Hernandez,3.475657,2.1,2206,33,2010,2024,0,2206,2.7,CH,FEMST,,,,,,
LIPSHUTZ B H,Bruce Lipshutz,3.474192,4.0,1732,39,2009,2023,0,1732,4.0,CHEM,,,,,,,
MOORE K M,Kathleen Moore,3.473816,3.1,1119,69,2009,2024,15,1104,2.5,ENGL,INT,RG,,,,,
TALAMANTEZ I,Ines Talamantez,3.471421,2.0,2005,58,2009,2019,49,1956,2.8,ENV,INT,RG,,,,,
BOSCAGLI M,Maurizia Boscagli,3.47075,3.2,3747,58,2010,2024,287,3460,3.4,C,ENGL,INT,W&L,,,,
MOHR J,John Mohr,3.470338,1.5,1507,35,2009,2018,49,1458,3.9,CMPSC,INT,SOC,,,,,
DUNBAR N E,Norah Dunbar,3.464499,3.1,2907,22,2015,2024,63,2844,4.5,COMM,INT,,,,,,
STANSELL A,Amanda Stansell,3.463648,2.8,2352,56,2010,2024,1,2351,4.5,W&L,WRIT,,,,,,
WEBB M T,Marie Webb,3.463467,5.0,646,25,2019,2024,77,569,2.5,LING,,,,,,,
KATZ D H,Derek Katz,3.462986,2.4,4247,47,2009,2024,0,4247,5.0,INT,MUS,,,,,,
FALASCA S,Simonetta Falasca,3.460701,3.4,1939,27,2010,2024,19,1920,4.1,INT,SOC,,,,,,
SCUDDER S L,Samantha Scudder,3.458457,3.0,2359,43,2019,2024,15,2344,5.0,PSY,,,,,,,
ALBADA N A,Nicole Albada,3.457738,3.3,3625,47,2018,2024,72,3553,5.0,INT,PSY,,,,,,
YU H-J,Yu Feng,3.457083,4.5,1193,38,2009,2022,0,1193,2.9,CHIN,,,,,,,
SORKIN JENNI,Jenni Sorkin,3.455371,3.0,2467,41,2013,2023,12,2455,2.9,ART,ARTHI,,,,,,
KRUVAND M,Marjorie Kruvand,3.452326,3.6,602,21,2018,2021,0,602,2.3,WRIT,,,,,,,
ORLANDO M D,Mark Orlando,3.447298,2.5,5218,49,2014,2024,0,5218,4.5,ESS,INT,,,,,,
COKLIN L,Ljiljana Coklin,3.445683,3.4,2791,38,2009,2024,77,2714,4.3,INT,WRIT,,,,,,
MORET S L,Stephanie Moret,3.443233,2.2,4714,43,2012,2024,170,4544,4.4,ENV,ESM,GEOG,,,,,
RAYMOND E,Elena Raymond,3.442088,3.5,4961,49,2016,2024,0,4961,4.5,FEMST,SOC,,,,,,
TOBER T L,Tara Tober,3.438556,2.5,6108,90,2018,2024,73,6035,5.0,SOC,,,,,,,
BROWNING R,Randalyn Browning,3.43848,2.8,4579,30,2009,2020,0,4579,4.3,WRIT,,,,,,,
AFIFI T D,Tammy Afifi,3.436863,3.1,3456,35,2009,2024,151,3305,4.6,COMM,INT,,,,,,
GRIFFIN A R,Andrew Griffin,3.435444,3.5,3411,52,2010,2023,0,3411,5.1,ENGL,,,,,,,
FYGENSON D K,Deborah Fygenson,3.435002,4.4,4154,67,2009,2024,124,4030,2.1,BMSE,INT,PHYS,,,,,
BELTZ G,Glenn Beltz,3.433411,2.5,1287,44,2010,2024,0,1287,5.0,ME,,,,,,,
AKUDINOBI J,Jude Akudinobi,3.431292,2.5,5634,83,2009,2024,0,5634,3.6,BL,C,,,,,,
JURKOWSKI N W,Nicolas Jurkowski,3.430923,2.9,3913,23,2011,2024,0,3913,4.8,MUS,,,,,,,
GENOVA G L,Gina Genova,3.429234,3.3,2350,46,2009,2024,267,2083,4.6,INT,WRIT,,,,,,
WANG Y-D,Yuan-Fang Wang,3.426103,4.0,1360,48,2010,2024,0,1360,1.9,PSTAT,,,,,,,
BOULEY B A,Brad Bouley,3.425731,2.7,2258,41,2019,2024,49,2209,4.7,HIST,INT,,,,,,
VIGODA E J,Ellen McCracken,3.425369,4.2,745,56,2021,2024,0,745,1.5,CMPSC,,,,,,,
SAMUELS R D,Robert Samuels,3.424231,2.9,2047,21,2010,2024,137,1910,3.8,INT,WRIT,,,,,,
AMIHAY A,Aaron Belkin,3.423865,3.1,1035,89,2016,2021,0,1035,4.2,HEB,RG,,,,,,
CHO G,Gunhee Cho,3.420734,3.1,1336,56,2021,2024,0,1336,3.5,MATH,,,,,,,
HENDERSON J G,Jarett Henderson,3.419958,3.8,1889,34,2018,2024,25,1864,4.0,HIST,INT,,,,,,
MARKS T G,Trevor Marks,3.419866,4.3,1047,22,2017,2024,0,1047,4.0,ME,,,,,,,
ROOF W C,Wade Roof,3.417837,2.2,869,28,2009,2016,0,869,3.5,RG,,,,,,,
COLLINS N L,Nancy Collins,3.415954,2.3,1730,35,2010,2024,82,1648,4.8,PSY,,,,,,,
ZHANG YITANG,Yitang Zhang,3.415807,2.6,1474,26,2016,2024,2,1472,4.5,MATH,,,,,,,
RICE R E,Ronald Rice,3.414994,3.4,1614,21,2009,2024,3,1611,5.0,COMM,,,,,,,
GHOSH B,Bishnupriya Ghosh,3.414615,2.4,2737,41,2009,2024,41,2696,4.1,ENGL,FAMST,GLOBL,INT,W&L,,,
AMEERIAR L,Dan Luna,3.413464,3.1,921,145,2012,2018,0,921,4.5,AS,,,,,,,
MAYS K C,Kasie Mays,3.413433,3.1,603,25,2020,2022,0,603,2.7,PSY,,,,,,,
YOUNG K,Kay Young,3.412416,3.7,1635,27,2009,2021,0,1635,4.4,ENGL,,,,,,,
MCCLURE S B,Sarah McClure,3.411266,3.0,1509,21,2019,2024,0,1509,5.0,ANTH,,,,,,,
FREEMAN L A,Laurie Freeman,3.410898,2.9,2505,36,2012,2024,0,2505,2.4,POL,,,,,,,
FENRICH E B,Ellen McCracken,3.40637,4.2,675,56,2016,2021,0,675,1.5,ENGR,HIST,,,,,,
CREMERS M H,Matthea Cremers,3.405237,2.4,1394,63,2009,2024,0,1394,3.1,ANTH,ENV,SOC,,,,,
