Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
RAPOSO E,Eduardo Raposo,3.292088,2.1,1643,24,2010,2021,11,0,1643,3.1,LING,PORT,SPAN,,,,
KELLER E A,Edward Keller,3.186407,2.8,3281,63,2009,2022,13,110,3171,3.3,EARTH,ENV,GEOG,GEOL,INT,,
BARVOSA E,Edwina Barvosa,3.174507,3.6,2687,31,2009,2024,15,101,2586,2.5,CH,FEMST,INT,POL,,,
RAYMOND E,Elena Raymond,3.442088,2.9,4961,49,2016,2024,8,0,4961,3.3,FEMST,SOC,,,,,
PANAGIOTOU E,Eleni Panagiotou,3.260548,3.3,2446,52,2013,2018,5,0,2446,2.4,MATH,,,,,,
BORIS E C,Elieen Boris,3.496375,2.6,993,30,2010,2024,14,14,979,3.4,FEMST,INT,,,,,
COOK E H,Elizabeth Cook,3.258516,3,1550,35,2010,2022,12,0,1550,4.1,C,ENGL,,,,,
DIGESER E D,Elizabeth Digeser,2.996478,3.8,3180,107,2009,2024,15,44,3136,2.8,ANTH,HIST,INT,,,,
GWINN E G,Elizabeth Gwinn,2.745877,4.3,2862,43,2011,2019,8,5,2857,2.1,ECE,PHYS,,,,,
SAUR E H,Elizabeth Saur,3.632895,2.5,1140,31,2019,2024,5,0,1140,5,WRIT,,,,,,
MCCRACKEN E,Ellen McCracken,2.738332,4.2,1547,56,2009,2021,12,385,1162,1.5,C,INT,SPAN,,,,
HERNANDEZ E D,Ellie Hernandez,3.475657,2.1,2206,33,2010,2024,14,0,2206,2.8,CH,FEMST,,,,,
IHM E D,Elliott Ihm,3.153749,3,2374,69,2018,2022,4,0,2374,4.5,INT,PSY,,,,,
VESPA E I,Emanuel Vespa,2.788201,3.9,2551,38,2013,2020,7,0,2551,2,ECON,,,,,,
DUFFY A E,Enda Duffy,3.331849,2.8,4019,60,2010,2024,14,218,3801,4.2,C,ENGL,INT,,,,
CHEN E,Eric Chen,3.257101,3.4,1028,27,2019,2021,2,0,1028,3.8,MATH,,,,,,
CORSINI E P,Eric Corsini,2.926437,4.7,1305,46,2013,2014,1,0,1305,1.4,PHYS,,,,,,
